Theta	E_f	T_f_abl	T_f_kreuz	E_af	T_af_abl	T_af_kreuz
0	-0.424769	0	9.42578e-18	0.132279	0	4.4249e-18
1	-0.424704	0.00741324	0.00741324	0.132259	0.00230859	0.00230859
2	-0.42451	0.0148242	0.0148242	0.132199	0.00461647	0.00461648
3	-0.424187	0.0222307	0.0222307	0.132098	0.00692295	0.00692295
4	-0.423734	0.0296304	0.0296304	0.131957	0.00922733	0.00922733
5	-0.423153	0.0370211	0.0370211	0.131776	0.0115289	0.0115289
6	-0.422442	0.0444005	0.0444005	0.131554	0.0138269	0.0138269
7	-0.421603	0.0517663	0.0517663	0.131293	0.0161208	0.0161208
8	-0.420635	0.0591164	0.0591164	0.130992	0.0184097	0.0184097
9	-0.419539	0.0664485	0.0664485	0.130651	0.020693	0.020693
10	-0.418316	0.0737604	0.0737604	0.13027	0.02297	0.02297
11	-0.416965	0.0810498	0.0810498	0.129849	0.02524	0.02524
12	-0.415487	0.0883145	0.0883145	0.129389	0.0275024	0.0275024
13	-0.413882	0.0955522	0.0955522	0.128889	0.0297563	0.0297563
14	-0.412152	0.102761	0.102761	0.12835	0.0320012	0.0320012
15	-0.410295	0.109938	0.109938	0.127772	0.0342364	0.0342364
16	-0.408314	0.117082	0.117082	0.127155	0.0364611	0.0364611
17	-0.406209	0.12419	0.12419	0.126499	0.0386747	0.0386747
18	-0.403979	0.131261	0.131261	0.125805	0.0408765	0.0408765
19	-0.401627	0.138291	0.138291	0.125072	0.0430659	0.0430659
20	-0.399152	0.14528	0.14528	0.124302	0.0452421	0.0452421
21	-0.396556	0.152224	0.152224	0.123493	0.0474046	0.0474046
22	-0.393839	0.159121	0.159121	0.122647	0.0495526	0.0495526
23	-0.391002	0.16597	0.16597	0.121764	0.0516856	0.0516856
24	-0.388046	0.172769	0.172769	0.120843	0.0538028	0.0538028
25	-0.384971	0.179515	0.179515	0.119886	0.0559036	0.0559036
26	-0.38178	0.186206	0.186206	0.118892	0.0579874	0.0579874
27	-0.378472	0.192841	0.192841	0.117862	0.0600535	0.0600535
28	-0.375049	0.199417	0.199417	0.116796	0.0621013	0.0621013
29	-0.371511	0.205932	0.205932	0.115694	0.0641302	0.0641302
30	-0.367861	0.212385	0.212385	0.114557	0.0661396	0.0661396
31	-0.364098	0.218772	0.218772	0.113385	0.0681288	0.0681288
32	-0.360225	0.225093	0.225093	0.112179	0.0700973	0.0700973
33	-0.356241	0.231346	0.231346	0.110939	0.0720444	0.0720444
34	-0.352149	0.237528	0.237528	0.109664	0.0739696	0.0739696
35	-0.34795	0.243638	0.243638	0.108357	0.0758722	0.0758722
36	-0.343645	0.249673	0.249673	0.107016	0.0777517	0.0777517
37	-0.339236	0.255632	0.255632	0.105643	0.0796076	0.0796076
38	-0.334723	0.261514	0.261514	0.104237	0.0814392	0.0814392
39	-0.330108	0.267316	0.267316	0.1028	0.083246	0.083246
40	-0.325392	0.273036	0.273036	0.101332	0.0850274	0.0850274
41	-0.320577	0.278674	0.278674	0.0998323	0.0867829	0.0867829
42	-0.315665	0.284226	0.284226	0.0983026	0.088512	0.088512
43	-0.310656	0.289692	0.289692	0.0967428	0.0902142	0.0902142
44	-0.305553	0.295069	0.295069	0.0951536	0.0918888	0.0918888
45	-0.300357	0.300357	0.300357	0.0935355	0.0935355	0.0935355
46	-0.295069	0.305553	0.305553	0.0918888	0.0951536	0.0951536
47	-0.289692	0.310656	0.310656	0.0902142	0.0967428	0.0967428
48	-0.284226	0.315665	0.315665	0.088512	0.0983026	0.0983026
49	-0.278674	0.320577	0.320577	0.0867829	0.0998323	0.0998323
50	-0.273036	0.325392	0.325392	0.0850274	0.101332	0.101332
51	-0.267316	0.330108	0.330108	0.083246	0.1028	0.1028
52	-0.261514	0.334723	0.334723	0.0814392	0.104237	0.104237
53	-0.255632	0.339236	0.339236	0.0796076	0.105643	0.105643
54	-0.249673	0.343645	0.343645	0.0777517	0.107016	0.107016
55	-0.243638	0.34795	0.34795	0.0758722	0.108357	0.108357
56	-0.237528	0.352149	0.352149	0.0739696	0.109664	0.109664
57	-0.231346	0.356241	0.356241	0.0720444	0.110939	0.110939
58	-0.225093	0.360225	0.360225	0.0700973	0.112179	0.112179
59	-0.218772	0.364098	0.364098	0.0681288	0.113385	0.113385
60	-0.212385	0.367861	0.367861	0.0661396	0.114557	0.114557
61	-0.205932	0.371511	0.371511	0.0641302	0.115694	0.115694
62	-0.199417	0.375049	0.375049	0.0621013	0.116796	0.116796
63	-0.192841	0.378472	0.378472	0.0600535	0.117862	0.117862
64	-0.186206	0.38178	0.38178	0.0579874	0.118892	0.118892
65	-0.179515	0.384971	0.384971	0.0559036	0.119886	0.119886
66	-0.172769	0.388046	0.388046	0.0538028	0.120843	0.120843
67	-0.16597	0.391002	0.391002	0.0516856	0.121764	0.121764
68	-0.159121	0.393839	0.393839	0.0495526	0.122647	0.122647
69	-0.152224	0.396556	0.396556	0.0474046	0.123493	0.123493
70	-0.14528	0.399152	0.399152	0.0452421	0.124302	0.124302
71	-0.138291	0.401627	0.401627	0.0430659	0.125072	0.125072
72	-0.131261	0.403979	0.403979	0.0408765	0.125805	0.125805
73	-0.12419	0.406209	0.406209	0.0386747	0.126499	0.126499
74	-0.117082	0.408314	0.408314	0.0364611	0.127155	0.127155
75	-0.109938	0.410295	0.410295	0.0342364	0.127772	0.127772
76	-0.102761	0.412152	0.412152	0.0320012	0.12835	0.12835
77	-0.0955522	0.413882	0.413882	0.0297563	0.128889	0.128889
78	-0.0883145	0.415487	0.415487	0.0275024	0.129389	0.129389
79	-0.0810498	0.416965	0.416965	0.02524	0.129849	0.129849
80	-0.0737604	0.418316	0.418316	0.02297	0.13027	0.13027
81	-0.0664485	0.419539	0.419539	0.020693	0.130651	0.130651
82	-0.0591164	0.420635	0.420635	0.0184097	0.130992	0.130992
83	-0.0517663	0.421603	0.421603	0.0161208	0.131293	0.131293
84	-0.0444005	0.422442	0.422442	0.0138269	0.131554	0.131554
